"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $569.500891388171/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode","Method"
"0x7ce38d9cf3b90a36bbc22c9f23ddbb85670536979ccad41178c69e3fe3845b88","4886102","1613343586","2021-02-14 22:59:46","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00202988","1.15601846941102","136.08","","","Remove Liquidity With Permit"
"0xb5567a3987868e84c82f6a68c6f08b8cba64bb35fff3ce2dabb1045f479dea3a","4886122","1613343646","2021-02-14 23:00:46","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00116982","0.66621353276371","136.08","","","Swap Exact Tokens For ETH"
"0x4acaecea7c226296aacd385b264b721eef2eadf12ecafa039366f9ff6bfdb8a0","4886130","1613343670","2021-02-14 23:01:10","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00114286","0.650859788731885","136.08","","","Swap Exact Tokens For ETH"
"0x86b624ad51314f945ee90296b25f508c879ebc3b2ab24cdc7419c1f3a20744dd","4886141","1613343703","2021-02-14 23:01:43","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","1.5","854.251337082256","0.00165877","0.944670993607956","136.08","","","Add Liquidity ETH"
"0x1173608b9d9bce29c6cc043318b7968e1e21c96b07a6849911d39967a995309c","4886163","1613343769","2021-02-14 23:02:49","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0.1","56.9500891388171","0.00111081","0.632607285162894","136.08","","","Swap Exact ETH For Tokens"
"0x8587b2f45b2f741615c2ba008a5fafe0079fa29a01f7efaa327124dc09fb1c50","4886174","1613343802","2021-02-14 23:03:22","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00129335","0.736563977876891","136.08","","","Swap Exact Tokens For ETH"
"0x9e9e3b3ffe699e1c775f1c9e5a3807624e5b807c2e1d356b1f67ce0c76d1fb77","4886191","1613343853","2021-02-14 23:04:13","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00129335","0.736563977876891","136.08","","","Swap Exact Tokens For ETH"
"0x52076e1e73cda9258a71f3bd066aacefd13c8b910405936f6b0a05f5b171db21","4886252","1613344036","2021-02-14 23:07:16","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0","0","0.00129335","0.736563977876891","136.08","","","Swap Exact Tokens For ETH"
"0x7c52199a0e8a902dc1ba5fae93badb0f0e2cc8555c606d350b4e1f3743c58e1d","4886264","1613344072","2021-02-14 23:07:52","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0.6","341.700534832903","0.00176835","1.00707690128627","136.08","","","Add Liquidity ETH"
"0x744b95a1f101ab04efaaa949f2f5d7d89b0d3a2c6beaa90f7fc0769655dde505","4886311","1613344213","2021-02-14 23:10:13","0xc95063d946242f26074a76c8a2e94c9d735dfc78","0x05ff2b0db69458a0750badebc4f9e13add608c7f","","0","0.1","56.9500891388171","0.00111081","0.632607285162894","136.08","","","Swap Exact ETH For Tokens"
